,title,media,date,datetime,desc,link,img
0,"Monday's top brokerage calls: TCS, Tata Motors and Motherson Sumi",CNBCTV18,15 hours ago,2021-10-11 09:44:46.645301,"Monday's top brokerage calls: TCS, Tata Motors and Motherson Sumi ... Goldman Sachs and Kotak Institutional Equities had cut EPS estimates for TCS while Citi...",https://www.cnbctv18.com/photos/market/stocks/mondays-top-brokerage-calls-tcs-tata-motors-and-motherson-sumi-11062082.htm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,"Tata Stocks at full throttle on robust Q2, business outlook",The Economic Times,18 hours ago,2021-10-11 06:44:46.645301,"The company is the second in the Tata Group after Tata Consultancy Services to cross Rs 2 lakh crore in market cap. Tata Motors, Indian Hotels, Tata...",https://economictimes.indiatimes.com/markets/stocks/news/tata-stocks-at-full-throttle-on-robust-q2-business-outlook/articleshow/86926359.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,Tata Motors shares rally over 21% in 5 days. ICICI Securities sees more upside,Mint,11 hours ago,2021-10-11 13:44:46.652840,"Tata Motors is an auto original equipment manufacturer (OEM) from the house of Tatas, operating in domestic (PV, CV) as well as global markets (Jaguar Land...",https://www.livemint.com/market/stock-market-news/tata-motors-share-price-rallies-over-21-in-5-days-should-you-still-buy-11633934630900.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,"Zerodha's Nithin Kamath ‘feeling proud’ of Mahindra, Tata. Here's why",Mint,6 hours ago,2021-10-11 18:44:46.684848,The Zerodha CEO went on to compare vehicles from Mahindra and Tata Motors with apps from new-age Indian technology first businesses.,https://www.livemint.com/news/india/zerodhas-nithin-kamath-feeling-proud-of-mahindra-tata-here-s-why-11633952690418.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,Tata Motors accelerates BEST’s green mobility journey; completes electrification of Worli depot,Free Press Journal,4 hours ago,2021-10-11 20:44:46.693022,Tata Motors has announced the successful installation of the complete vehicle charging infrastructure at the Worli BEST depot.,https://www.freepressjournal.in/business/tata-motors-accelerates-bests-green-mobility-journey-completes-electrification-of-worli-depot,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,"Buzzing stocks for trade on October 11: TCS, RIL, Tata Motors and more",CNBCTV18,16 hours ago,2021-10-11 08:44:46.693022,"Tata Motors | JLR sales during the September quarter stood at 92,710 units, over 18 percent lower on year. Retail sales continued to be constrained due to...",https://www.cnbctv18.com/videos/market/stocks/heres-a-look-at-buzzing-stocks-for-trade-on-october-11-tata-motors-jaguar-land-rover-reliance-industries-bandhan-bank-equitas-small-finance-bankk-11061932.htm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,"Buy Tata Motors, target price Rs 450: ICICI Direct",The Economic Times,14 hours ago,2021-10-11 10:44:46.693022,The current market price of Tata Motors Ltd. is Rs 405.9. Time period given by analyst is one year when Tata Motors Ltd. price can reach defined target. Tata...,https://economictimes.indiatimes.com/markets/stocks/recos/buy-tata-motors-target-price-rs-450-icici-direct/articleshow/86928949.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,"Stocks in focus: RIL, Tata Motors, SH Kelkar and more",The Economic Times,15 hours ago,2021-10-11 09:44:46.693022,"Stocks in focus: RIL, Tata Motors, SH Kelkar and more. ET Now | 11 Oct 2021, 08:48 AM IST.",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-focus-ril-tata-motors-sh-kelkar-and-more/videoshow/86928019.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,"Auto rally powers Nifty above 18,000",Reuters,8 hours ago,2021-10-11 16:44:46.755557,"Tata Motors had said here on Friday that JLR's global retail orders were at record levels. Airline stocks also gained, with the operator of India's largest...",https://www.reuters.com/article/india-stocks/auto-rally-powers-nifty-above-18000-idUSL4N2R722X,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,India car sales analysed – September 2021,CarWale,15 hours ago,2021-10-11 09:44:46.755557,"Tata Motors is the only one among the top-five carmakers to witness ... Back in September, MG Motor had registered 27.7 per cent growth in sales with 3,241...",https://www.carwale.com/news/india-car-sales-analysed-september-2021/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
